"ticket_no","name","ticket_title","description_plain","comments","solution"
T024897,iApp,Device Issue,We have issue with one of the spectra device. The issue is regarding punch data like after few days the all data of that particular get wiped automatically . for example when any user try to punch on that machine showing invalid error on that machine.,"As confirmed in Sheet and Rahul bhai, client is not under AMC.",Email has been sent to client for AMC. Closed.
T024897,iApp,Device Issue,We have issue with one of the spectra device. The issue is regarding punch data like after few days the all data of that particular get wiped automatically . for example when any user try to punch on that machine showing invalid error on that machine.,Email has been sent to client for AMC.,Email has been sent to client for AMC. Closed.
T024897,iApp,Device Issue,We have issue with one of the spectra device. The issue is regarding punch data like after few days the all data of that particular get wiped automatically . for example when any user try to punch on that machine showing invalid error on that machine.,Email has been sent to client for AMC.,Email has been sent to client for AMC. Closed.
T024897,iApp,Device Issue,We have issue with one of the spectra device. The issue is regarding punch data like after few days the all data of that particular get wiped automatically . for example when any user try to punch on that machine showing invalid error on that machine.,Email has been sent to client for AMC. Closed.,Email has been sent to client for AMC. Closed.
T024898,iApp,Regarding software installation due to Pc corrupt. | T023102,software installation support.,"As per the call discussion, the client will discuss with their IT team and then provide me with a scheduled time.",Software installed and closed
T024898,iApp,Regarding software installation due to Pc corrupt. | T023102,software installation support.,"As per the call discussion, the client will discuss with their IT team and then provide me with a scheduled time.",Software installed and closed
T024898,iApp,Regarding software installation due to Pc corrupt. | T023102,software installation support.,"Discussed with Mr.Rajesh Yadav ji,He said his IT person is not available right now, so he will connect us and share date in next week to contact.",Software installed and closed
T024898,iApp,Regarding software installation due to Pc corrupt. | T023102,software installation support.,"Discussed with Mr.Rajesh Yadav ji,He said his IT person is not available right now, so he will connect us and share date in next week to contact.",Software installed and closed
T024898,iApp,Regarding software installation due to Pc corrupt. | T023102,software installation support.,Software installed and closed,Software installed and closed
T024899,NetXsControl Ent.,System gets locked,System gets locked,"As per the remote session, I have provided guidance to the user regarding software usage. When the system is locked or powered off, the user must first log off or exit the software. When required, they can log in again, and the software will function properly.","As per the remote session, I have provided guidance to the user regarding software usage. When the system is locked or powered off, the user must first log off or exit the software. When required, they can log in again, and the software will function properly."
T024900,NetXsControl Ent.,Assigning same card number,Assigning same card number,"As per the remote session, I have provided guidance to the user on reusing the same card from a resigned employee for a new joining employee. Additionally, I have also explained the process of adding an employee using an old card.","As per the remote session, I have provided guidance to the user on reusing the same card from a resigned employee for a new joining employee. Additionally, I have also explained the process of adding an employee using an old card."
T024901,NetXsControl Ent.,Movement report,Movement report,"As discussed during our remote session, you require a report that includes In-Out timings and gate-wise timings. To assist you, please follow these steps to download the Gatewise In-Out Report:

Log in to the system.
Navigate to the Reports section from the main dashboard.
Select Gatewise In-Out Report from the available report options.
Apply the necessary filters (date range, location, etc.) as per your requirement.
Click on Generate/Download to obtain the report in the desired format (Excel/PDF).","As discussed during our remote session, you require a report that includes In-Out timings and gate-wise timings. To assist you, please follow these steps to download the Gatewise In-Out Report:

Log in to the system.
Navigate to the Reports section from the main dashboard.
Select Gatewise In-Out Report from the available report options.
Apply the necessary filters (date range, location, etc.) as per your requirement.
Click on Generate/Download to obtain the report in the desired format (Excel/PDF)."
T024902,NetXsControl Ent.,Check in check out report,Check in check out report,"As discussed during our remote session, you require a report that includes In-Out timings and gate-wise timings. To assist you, please follow these steps to download the Gatewise In-Out Report:

Log in to the system.
Navigate to the Reports section from the main dashboard.
Select Gatewise In-Out Report from the available report options.
Apply the necessary filters (date range, location, etc.) as per your requirement.
Click on Generate/Download to obtain the report in the desired format (Excel/PDF).","As discussed during our remote session, you require a report that includes In-Out timings and gate-wise timings. To assist you, please follow these steps to download the Gatewise In-Out Report:

Log in to the system.
Navigate to the Reports section from the main dashboard.
Select Gatewise In-Out Report from the available report options.
Apply the necessary filters (date range, location, etc.) as per your requirement.
Click on Generate/Download to obtain the report in the desired format (Excel/PDF)."
T024904,ARSWin-Net,Spectra - Torrent Power - Agra - Punch Machine Error.,The attendance issue of not capturing attendance properly is increasing.,"As per the call discussion, the client is currently out of the office, so they will call back once they reach the office.","As discussed with Pranay Raj, Reported issue has been resolved.

"
T024904,ARSWin-Net,Spectra - Torrent Power - Agra - Punch Machine Error.,The attendance issue of not capturing attendance properly is increasing.,"As per the call discussion, the client is currently out of the office, so they will call back once they reach the office.","As discussed with Pranay Raj, Reported issue has been resolved.

"
T024904,ARSWin-Net,Spectra - Torrent Power - Agra - Punch Machine Error.,The attendance issue of not capturing attendance properly is increasing.,"""There was an issue with the punch for two employees, so we checked in Miscellaneous, then in Attendance live transaction, and assigned access to both for local checking and informed them to punch in. There was one more employee facing a stranger issue, so we followed the same process, assigned access, and suggested that if the stranger error persists, they should re-register their face and try punching again. Then, I asked them to update me.""","As discussed with Pranay Raj, Reported issue has been resolved.

"
